ID,LineID,face,dialog
0,0,Tenshi0a,즐긴 사람이 승리야!
1,0,Tenshi0a,자、얼마나 가질까
2,0,Tenshi0a,나에게 이길 수 있을 이유 없지요
3,0,Tenshi0a,나보다 높은 곳을 날지 마
4,0,Tenshi0a,무례한 놈에게는 뜸을 떠요!
5,0,Tenshi0a,짐승을 쫓는 사람은 눈에 태산을 보지 않고는
6,0,Tenshi0a,나의 기분 전환에 교제해 받아요
7,0,Tenshi0a,개수일촉[鎧袖一觸]으로 해 주어요!
8,0,Tenshi0a,성실하게 상대를 해 주지 않으면!
9,0,Tenshi0a,최고조에 달한 싸움、재미있지 않아!
10,0,Tenshi0a,이 오락을 좀 더 즐겁게 해!
11,0,Tenshi1a,움직일 것도 없네요
12,0,Tenshi1a,피해 보이세요
13,0,Tenshi1a,이것으로 어떨까?
14,0,Tenshi1a,훗훗후…
15,0,Tenshi1a,비상의 검으로 승부야!
15,1,Tenshi1a,그리고 있고!
16,0,Tenshi1a,자、기질을 지켜봐 준다…!
16,1,Tenshi1a,바닥 시세!
17,0,Tenshi1a,비상의 검으로…!
17,1,Tenshi1a,!
18,0,Tenshi1a,이것으로 성패 해 주어요!
18,1,Tenshi1a,그것!
19,0,Tenshi1a,저 녀석의 기질을 느끼면…!
19,1,Tenshi1a,가라、판네룩!
20,0,Tenshi1a,나의 힘、보여 주어요!
20,1,Tenshi1a,도망칠 수 없어요!
21,0,Tenshi1a,단순한 요석이 아니야!
21,1,Tenshi1a,거기、팬 네루!
22,0,Tenshi1a,곧바로 아픈 눈을 보여 주어요!
22,1,Tenshi1a,자、가세요!
23,0,Tenshi1a,천인의 전에、무릎 꿇으세요!
23,1,Tenshi1a,비상의 검이야!
23,2,Tenshi1a,기질을 폭로해、그 몸에 모음…
23,3,Tenshi1a,기질을 폭로해、그 몸에 모음…
23,4,Tenshi1a,풀어랏!
24,0,Tenshi1a,이것이 비상의 검의 힘!
24,1,Tenshi1a,자、가요!
24,2,Tenshi1a,하늘에 있어라고 기질을 폭로한다…!
24,3,Tenshi1a,지상의 백성의 주홍색의 마음을…
24,4,Tenshi1a,나타내라!
25,0,Tenshi1a,천인의 힘、보여 주어요!
25,1,Tenshi1a,비상의 검이야!
25,2,Tenshi1a,지상의 백성의 기질을 폭로해…!
25,3,Tenshi1a,모여 해 주홍색의 마음을…
25,4,Tenshi1a,풀어랏!
26,0,Tenshi1a,천인의 힘、보여 주어요!
27,0,Tenshi1a,비상의 검이야!
28,0,Tenshi0a,다음이야말로、봐 주세요!
29,0,Tenshi0a,지금은 용서해 두어 주어요
30,0,Tenshi0a,송구스러워서、\n 접근하기 어려운 기분은 헤아려 주어요
31,0,Tenshi0a,나는 마음이 넓으니까
32,0,Tenshi0a,더 이상、좋아하게 강요는 하지 않는다!
33,0,Tenshi0a,무엇 즐거운 듯 하는 일을 하고 있는 거야?
34,0,Tenshi0a,재미있을 것 같구나、도와 주어요
35,0,Tenshi0a,나도 혼합해 줘
36,0,Tenshi0a,그렇게는 시키지 않아요!
37,0,Tenshi0a,내가 없었으면、당하고 있었어요?
38,0,Tenshi0a,기분이 탔기 때문에 지켜 주어요
39,0,Tenshi2a,그쪽이 우세한 것은 인정해 준다
40,0,Tenshi2a,저자세로 나와 있으면、뜻대로 되어 우쭐대어!
41,0,Tenshi2a,나를 넘어뜨린다면、지금이 찬스야!
42,0,Tenshi0a,그러면 전혀 안되구나
43,0,Tenshi0a,이런 것 맞은 동안에 들어가지 않아요
