ID,LineID,face,dialog
0,0,Youmu0a,나는 책임을 다하지 않으면 \n 안 됩니다!
1,0,Youmu0a,방해를 한다면、\n 가감(상태)는 할 수 없습니다!
2,0,Youmu0a,나는 봄을 모으지 않으면 안 됩니다
3,0,Youmu1a,책임을 다하기 위해서(때문에)라면、\n 누가 상대여도…!
4,0,Youmu1a,명계에 발을 디딘 이상、\n 여러분일거라고 허락하지 않습니다!
5,0,Youmu1a,여러분지개 있을까 말까한 봄…\n 내가 받아 갑니다!
6,0,Youmu1a,여러분지개 있을까 말까한 봄…\n 내가 받습니다!
7,0,Youmu1a,아가씨를 위해、\n 나는 질 수는 없다!
8,0,Youmu1a,절대로 여기를 통할 수는 \n 가지 않습니다!
9,0,Youmu1a,보였다!
10,0,Youmu1a,빈틈 있음!
11,0,Youmu1a,테에이!!
12,0,Youmu1a,각오 해라!
13,0,Youmu1a,거기닷!
14,0,Youmu1a,반령에는、\n 이런 사용법도 있습니다
15,0,Youmu0a,겁니다…
15,1,Youmu1a,섬!
16,0,Youmu0a,이 틈이라면…
16,1,Youmu1a,산!
17,0,Youmu0a,이 일순간이 승부입니다
17,1,Youmu1a,참!
18,0,Youmu0a,이 기술로 결착을 붙인다…
18,1,Youmu1a,단명검 『명상참』!
18,2,Youmu1a,!
18,3,Youmu1a,요괴가 단련한、이 앵관검에…
18,4,Youmu1a,끊을 수 없는 것 등、\n 거의 없닷!!
19,0,Youmu0a,이것이라면 어떻습니까!
19,1,Youmu0a,당신의 생명을 끊는 검…
19,2,Youmu1a,단명검 『명상참』!
19,3,Youmu1a,요괴가 단련한、이 앵관검에…
19,4,Youmu1a,끊을 수 없는 것 등、\n 그다지 없닷!!
20,0,Youmu0a,마음에서、악한 생명을 끊는다…
20,1,Youmu0a,명명해、단·명·검!
20,2,Youmu1a,해 보겠습니닷!
20,3,Youmu1a,요괴가 단련한、이 앵관검에…
20,4,Youmu1a,끊을 수 없는 것 등、\n 조금 밖에 없닷!!
21,0,Youmu0a,일의 전심!
22,0,Youmu0a,달려나간다!
23,0,Youmu0a,옥계검이라면!
24,0,Youmu0a,비장의 기술、천상검!
24,1,Youmu1a,하아아아아!
25,0,Youmu0a,이것이 윤회의 숙업…
25,1,Youmu1a,하아아아아!
