ID,LineID,face,dialog
0,0,Yuka0a,마음의 준비는 좋을까?
1,0,Yuka0a,약한 사람 이지메는 좋아해요
2,0,Yuka0a,도전해 온다면 응해 주어요
3,0,Yuka0a,후후후、놀아 준다
4,0,Yuka0a,당신의 마법의 팔、\n 저 녀석에게 보여질 정도로 되었어?
5,0,Yuka0a,정말로、예쁘게 되었어요
6,0,Yuka1a,이렇게 하면、나의 일을 \n 좀 더 생각해 내 줄까
7,0,Yuka0a,아름다운 것에는、\n 꽃을 더해 주지 않으면 안 되네요
8,0,Yuka0a,살아 있던 거네. \n 당신은 그다지 변함없을까?
9,0,Yuka0a,땅딸보의 주제에、\n 자주(잘) 여기까지 왔어요
10,0,Yuka0a,꼭 좋은 곳에、\n 괴롭히고 쉬운 것 같은 것이 있어요
11,0,Yuka0a,그 흠칫흠칫 한 눈동자… 자아내요
12,0,Yuka0a,후후후… 좀 더 떨려 보여 줘
13,0,Yuka1a,그 정도로、\n 누군가를 지킬 수 있다고 생각하고 있는 거야?
14,0,Yuka1a,강한 눈초리를 보면 \n 더욱 더 괴롭히고 싶어져요
15,0,Yuka1a,당신이 굴복 하는 모양、\n 그림이 된다고 생각하지 않아?
16,0,Yuka1a,그 장갑으로、\n 어디까지 견딜 수 있을까 보여 줘
17,0,Yuka1a,대단한 어른이 굽혀 버리는…\n 굴욕이지요
18,0,Yuka0a,설마、그 검으로 \n 화들을 벨까?
19,0,Yuka0a,『마스터 스파크』…\n 그것이 당신의 붙인 이름인 거네
20,0,Yuka0a,모처럼 신조 한 것이니까、\n 소중하게 취급하지 않으면
20,1,Yuka0a,그것!
21,0,Yuka1a,피세요… 나의 화들
22,0,Yuka1a,찢으세요… 나의 화들
23,0,Yuka1a,아름답게、피어 보세요!
24,0,Yuka0a,피와 같이 붉은 해바라기의 꽃…\n 아시는 바일까?
25,0,Yuka0a,이 정도로 시들어서는 싫어요
26,0,Yuka0a,그러면、사양말고…
27,0,Yuka1a,… 지워 줄까
28,0,Yuka0a,뜬 숯 정도 남겨 준다
28,1,Yuka1a,… 모두 불타세요
29,0,Yuka0a,당신이 보고 싶은 것은 이것이지요?
29,1,Yuka1a,… 사라져 버리세요
30,0,Yuka0a,이것이、당신이 \n 손을 댄 상대의 힘이야
30,1,Yuka1a,… 자、공포 하세요
31,0,Yuka0a,비교해 보세요、마리사
31,1,Yuka1a,…『마스터 스파크』
32,0,Yuka0a,라면、답례해요
32,1,Yuka1a,…『마스터·스파크』
33,0,Yuka0a,맞아도 함께였지만
34,0,Yuka0a,… 깜찍해요
35,0,Yuka2a,잘도 해 주었군요…!
